sentiment ,description
-1,"3 -4 -1 This app is SH **I officially HATE[-4] this appUse to love[3] this app until recently ...[sentence: 3,-4] Every time I edit an image it goes black ,add text (more than one )it either deletes previous text or kicks[-2] me out of the text tool completely and even before I launch app it says ERROR[-2] requires space on sd card ...[sentence: 1,-2] How ?[sentence: 1,-1] If I have 32 gb memory card ![+1 punctuation mood emphasis] [sentence: 2,-1] Every time I have an error[-2] or get booted the app is gone .[sentence: 1,-2] Like[2] it uninstalls itself !?[+1 punctuation emphasis] [sentence: 3,-1] NOW I CAN'T EVEN INSTALL IT [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 BAD[-2] UPDATE [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 why is there no blur[-2] option ?[sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Killer[-2] app [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 No regrets[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Unfortunate[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 I was gonna give it 4stats but every time I add text it stop unexpectedly[-2] which is giving me a problem[-2] which also makes me wanna uninstall it [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Problem[-2] with update [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Camera related ..[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Farhan [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 HmmmPls ,,fix this app .[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Awsum app [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Gud [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Picsart enhance the pic quality [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 lower the mb [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Picsart [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Bea [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 F [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 camera effect [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 SUPERB [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 SUGGESTION :[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 februari [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 So unique [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Nico [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Use full in many ways ..[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Lola [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Itz [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Pics art [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 &lt [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Nineteen [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Must [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Ayu Sanrina [proper noun] [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Yess [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,1 -1 0 
0,"1 -1 0 gr8 app ....[sentence: 1,-1] bt takes time to download .....[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Malhari [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 muzo [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Yes ...[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Never [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 S4 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"3 -3 0 Bugs .[sentence: 1,-1] This app has some good[2] [+-1 booster word] features but it is too complicated[-2] and contains numerous bugs like[2] messed -up comments ,negative[-2] likes[3] (it happens when you like[2] your own pic before anyone else does it ,and reload the pic (the no .[sentence: 3,-2] of likes[3] is 0 when you reload ,even if you have liked[3] it )and dislike[-3] that pic .[sentence: 3,-3] So it becomes -1 likes[3] )etc .[sentence: 3,-1] Please[2] fix the bugs and make it more user -friendly[2] .[sentence: 2,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Superb [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 J [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Ashfakck [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 3 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Galaxy S4 [proper noun] [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Must Have [proper noun] App [proper noun] [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Sachu [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Nce [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Hdr [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Doesn't work ?[sentence: 1,-1] Whenever I click photo ,nothing happens .[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Why not [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Supurb photo editing app i ever seen .....[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Sreerag sree [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Hi [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Ra [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Tu [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Keren [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Superb [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Lionel [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 It's ok [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Cannot see some of my fonts in the list [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Opinion [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Samsung S4 [proper noun] [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Ok [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Heather t [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 It okay to use [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Keren [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Picture [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Perf [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 aw some features 4 it's time .[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 milla [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Faadu [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Ok [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Samsung galaxy note 3 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 God is king [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 G [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Lund bc [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Buggy [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Android 4 .0 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Better [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"4 -4 0 Frustrated[-3] with having to reinstall app every other day ![-1 punctuation emphasis] [sentence: 1,-4] I Really [proper noun] like[2] [+1 booster word] this app !![+1 punctuation emphasis] [sentence: 4,-1] I would gladly[2] [+-1 booster word] give it 5stars ,however it keeps bombing[-2] out ,and i have to reinstall it ...?![-1 punctuation emphasis] [sentence: 1,-3] Which i find frustrating[-3] ,and then I have to download all the addons Please [proper noun] fix [sentence: 1,-3] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Thats really very kool [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Bst pics app evr [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 C biien [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Chante [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Awsome [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Ok [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Khan [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Exxellenntt [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 0 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Endless [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Superb [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Next time [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Superb apps ......[sentence: 1,-1] give it 5 witout ant dougt [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 NYC app [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Asad [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Straight [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Risan mahamud [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 S2 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Pics art photo studio [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Ok [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Better than words [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Effects [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 3 words [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Kausar ali [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 A [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 0 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Need help [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Bob Cremeans [proper noun] [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Nyc one [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 canvas2 +[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Superb [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Faisal [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Y [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Itz asum ..[sentence: 1,-1] &lt [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 aryiel [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 It has everything you need for your photo editing needs and a huge variety of frames [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 god [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Superb &lt [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 k [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 About pics art [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Picsart [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Out of words [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Pratap Gavhane [proper noun] Patil [proper noun] ......[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,1 -1 0 
0,"1 -1 0 Vry gud [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Jaysukh [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Mast [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 pics art [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Still Colour [proper noun] replace [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 April [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 H [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Mind blowing [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Most creative [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Le [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Mp [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Nince [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Samsung galaxy s duos 2 [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Download it frnds take it experience dont be late [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Grt app [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
0,"1 -1 0 Yuppie ...[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
